transaction_date,owner,ticker,asset_description,asset_type,transaction_type,amount,comment,party,state,industry,sector,senator,ptr_link,disclosure_date,amount_value,committees,return
2023-04-18,Spouse,ESS,"Essex Property Trust, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Real Estate Investment Trusts,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9fc025a0-f893-47b2-9252-a2820737a409/,2023-05-17,8000.5,[],0.0
2023-04-18,Self,ESS,"Essex Property Trust, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Real Estate Investment Trusts,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9fc025a0-f893-47b2-9252-a2820737a409/,2023-05-17,8000.5,[],0.0
2023-05-16,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Michael F. Bennet,https://efdsearch.senate.gov/search/view/ptr/f590a331-1f74-4d08-b79f-88930593f314/,2023-05-16,,[],0.0
2023-04-04,Spouse,UPS,"United Parcel Service, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,WV,Trucking Freight/Courier Services,Transportation,Shelley Moore Capito,https://efdsearch.senate.gov/search/view/ptr/60987939-a116-41ee-86c2-8ba920461691/,2023-05-15,8000.5,[],0.0
2023-04-04,Spouse,MCD,McDonald's Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Republican,WV,Restaurants,Consumer Services,Shelley Moore Capito,https://efdsearch.senate.gov/search/view/ptr/60987939-a116-41ee-86c2-8ba920461691/,2023-05-15,8000.5,[],0.0
2023-04-04,Spouse,DUK,Duke Energy Corporation (Holding Company) Common S,Stock,Sale (Full),"$15,001 - $50,000",--,Republican,WV,Power Generation,Public Utilities,Shelley Moore Capito,https://efdsearch.senate.gov/search/view/ptr/60987939-a116-41ee-86c2-8ba920461691/,2023-05-15,32500.5,[],0.0
2023-04-28,Spouse,TTD,"The Trade Desk, Inc. - Class A Common Stock",Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,"Computer Software: Programming, Data Processing",Technology,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,32500.5,[],0.0
2023-04-28,Spouse,PTON,"Peloton Interactive, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,CO,Recreational Products/Toys,Consumer Non-Durables,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,8000.5,[],0.0
2023-04-28,Spouse,DIS,Walt Disney Company (The) Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,Services-Misc. Amusement & Recreation,Consumer Services,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,32500.5,[],0.0
2023-04-28,Spouse,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,Television Services,Consumer Services,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,32500.5,[],0.0
2023-04-28,Spouse,CCCS,CCC Intelligent Solutions Holdings Inc. Common Sto,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,Computer Software: Prepackaged Software,Technology,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,32500.5,[],0.0
2023-04-28,Spouse,AMZN,"Amazon.com, Inc. - Common Stock",Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,Catalog/Specialty Distribution,Consumer Services,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,32500.5,[],0.0
2023-04-28,Spouse,BABA,Alibaba Group Holding Limited American Depositary,Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,CO,Business Services,Miscellaneous,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,8000.5,[],0.0
2023-04-28,Spouse,SNAP,Snap Inc. Class A Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,CO,"Computer Software: Programming, Data Processing",Technology,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,8000.5,[],0.0
2023-04-28,Spouse,PINS,"Pinterest, Inc. Class A Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,CO,,,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,8000.5,[],-0.7538345563914401
2023-04-12,Spouse,CARG,"CarGurus, Inc. - Class A Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,CO,Interactive Media,Technology,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,8000.5,[],0.0
2023-04-12,Spouse,BBY,"Best Buy Co., Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,CO,Consumer Electronics/Video Chains,Consumer Services,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,8000.5,[],0.0
2023-05-01,Spouse,CMG,"Chipotle Mexican Grill, Inc. Common Stock",Stock,Sale (Partial),"$100,001 - $250,000",--,Democrat,CO,Restaurants,Consumer Services,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15,175000.5,[],0.0
2023-05-11,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,,,,,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/7fc6c207-7c6f-4d05-aae6-1f5b2f661252/,2023-05-11,,[],0.0
2023-04-28,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $15.00 <br> <em>Expires:</em> 01/19/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-28,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $17.00 <br> <em>Expires:</em> 06/21/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-28,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $17.00 <br> <em>Expires:</em> 01/19/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-28,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $17.00 <br> <em>Expires:</em> 06/21/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-28,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $17.00 <br> <em>Expires:</em> 06/21/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-28,Joint,F,Ford Motor Company Common Stock,Stock,Purchase,"$15,001 - $50,000",--,Republican,AL,Auto Manufacturing,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,32500.5,[],0.004026809603493481
2023-04-27,Joint,F,Ford Motor Company Common Stock,Stock,Purchase,"$100,001 - $250,000",--,Republican,AL,Auto Manufacturing,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,175000.5,[],0.004026809603493481
2023-04-26,Joint,F,Ford Motor Company Common Stock,Stock,Purchase,"$15,001 - $50,000",--,Republican,AL,Auto Manufacturing,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,32500.5,[],0.004026809603493481
2023-04-26,Joint,ATVI,"Activision Blizzard, Inc - Common Stock",Stock,Sale (Full),"$100,001 - $250,000",--,Republican,AL,Computer Software: Prepackaged Software,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,175000.5,[],0.0
2023-04-24,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $18.00 <br> <em>Expires:</em> 01/19/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-24,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $16.00 <br> <em>Expires:</em> 01/19/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-24,Joint,CLF,"Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $16.00 <br> <em>Expires:</em> 01/19/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7934128732039268
2023-04-24,Joint,X,United States Steel Corporation Common Stock,Stock,Sale (Partial),"$50,001 - $100,000",--,Republican,AL,Steel/Iron Ore,Industrials,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,75000.5,[],-0.7804848762293575
2023-04-24,Joint,X,United States Steel Corporation Common Stock,Stock,Sale (Partial),"$100,001 - $250,000",--,Republican,AL,Steel/Iron Ore,Industrials,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,175000.5,[],-0.7804848762293575
2023-04-24,Joint,CLF,Cleveland-Cliffs Inc. Common Stock,Stock,Purchase,"$15,001 - $50,000",--,Republican,AL,Precious Metals,Basic Industries,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,32500.5,[],-0.7934128732039268
2023-04-18,Joint,OXY,"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $60.00 <br> <em>Expires:</em> 06/21/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Oil & Gas Production,Energy,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.48558394386563875
2023-04-14,Joint,KMB,"Kimberly-Clark Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $135.00 <br> <em>Expires:</em> 10/20/2023 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Containers/Packaging,Consumer Durables,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],-0.7538345563914401
2023-04-14,Joint,MMM,3M Company Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Medical/Dental Instruments,Health Care,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-14,Joint,MRO,"Marathon Oil Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 09/15/2023 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Oil & Gas Production,Energy,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-10,Joint,KR,"Kroger Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $48.00 <br> <em>Expires:</em> 10/20/2023 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Food Chains,Consumer Services,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-10,Joint,MDLZ,"Mondelez International, Inc. - Class A Common Stoc <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $70.00 <br> <em>Expires:</em> 01/19/2024 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Packaged Foods,Consumer Non-Durables,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-10,Joint,PARA,"Paramount Global - Class B Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 09/15/2023 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Movies/Entertainment,Consumer Discretionary,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-10,Joint,HPQ,"HP Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $29.00 <br> <em>Expires:</em> 11/17/2023 </div>",Stock Option,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Computer Manufacturing,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-04,Joint,TSLA,"Tesla, Inc. - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $190.00 <br> <em>Expires:</em> 12/15/2023 </div>",Stock Option,Sale (Partial),"$15,001 - $50,000",--,Republican,AL,Auto Manufacturing,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,32500.5,[],3.062308605712143
2023-04-03,Joint,TXN,"Texas Instruments Incorporated - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $180.00 <br> <em>Expires:</em> 10/20/2023 </div>",Stock Option,Sale (Partial),"$15,001 - $50,000",--,Republican,AL,Semiconductors,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,32500.5,[],0.0
2023-04-03,Joint,XP,XP Inc. - Class A Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Investment Bankers/Brokers/Service,Finance,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,VCTR,"Victory Capital Holdings, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Investment Managers,Finance,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,VZ,Verizon Communications Inc. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Telecommunications Equipment,Public Utilities,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,TREX,"Trex Company, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,,,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,MMM,3M Company Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Medical/Dental Instruments,Health Care,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,TMO,Thermo Fisher Scientific Inc Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Industrial Machinery/Components,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,MSFT,"Microsoft Corporation - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $250.00 <br> <em>Expires:</em> 11/17/2023 </div>",Stock Option,Sale (Partial),"$15,001 - $50,000",--,Republican,AL,Computer Software: Prepackaged Software,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,32500.5,[],-0.6043047492531748
2023-04-03,Joint,TSLA,"Tesla, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Auto Manufacturing,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],3.062308605712143
2023-04-03,Joint,SKY,Skyline Champion Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Homebuilding,Consumer Discretionary,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,SSD,"Simpson Manufacturing Company, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Industrial Machinery/Components,Consumer Discretionary,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,SCI,Service Corporation International Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Other Consumer Services,Consumer Services,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,QSR,Restaurant Brands International Inc,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Restaurants,Consumer Services,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,REGN,"Regeneron Pharmaceuticals, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Major Pharmaceuticals,Health Care,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,RRC,Range Resources Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Oil & Gas Production,Energy,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,RH,RH Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Other Specialty Stores,Consumer Discretionary,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,PHM,"PulteGroup, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Homebuilding,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,PAM,Pampa Energia S.A. Pampa Energia S.A.,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Electric Utilities: Central,Utilities,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,NSC,Norfolk Southern Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Railroads,Transportation,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,NDSN,Nordson Corporation - Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Industrial Machinery/Components,Industrials,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,NVDA,NVIDIA Corporation - Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Semiconductors,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.5051390163190829
2023-04-03,Joint,MCO,Moody's Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Finance: Consumer Services,Finance,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,MPWR,"Monolithic Power Systems, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Semiconductors,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,MPWR,"Monolithic Power Systems, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,Republican,AL,Semiconductors,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,MTD,"Mettler-Toledo International, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Biotechnology: Laboratory Analytical Instruments,Capital Goods,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,MMC,"Marsh &amp; McLennan Companies, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Specialty Insurers,Finance,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,MKSI,"MKS Instruments, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Industrial Machinery/Components,Industrials,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,LMST,"Limestone Bancorp, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Major Banks,Finance,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,ITW,Illinois Tool Works Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Industrial Machinery/Components,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,IDXX,"IDEXX Laboratories, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Republican,AL,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,GFI,Gold Fields Limited American Depositary Shares,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Precious Metals,Basic Materials,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,FLT,"FleetCor Technologies, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,EDP Services,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,META,"Meta Platforms, Inc. - Class A Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Internet and Information Services,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,ETSY,"Etsy, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Business Services,Miscellaneous,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,EW,Edwards Lifesciences Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Industrial Specialties,Health Care,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
2023-04-03,Joint,DQ,"DAQO New Energy Corp. American Depositary Shares,",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,AL,Semiconductors,Technology,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/d4a78d56-71f0-4658-a22e-72a8b9de1816/,2023-05-11,8000.5,[],0.0
